generator,bus,psse_name,carrier,p_nom,donor,donor_bus,method,distance_km
39475-1,39420,W_SKERD ROCK,wind,450.0,39474-4,3941,nearest_km,0.0
41271-1,4121,MULGEETH,wind,60.0,33174-1,3311,nearest_km,9.117618436964703
44736-1,44731,CODLING 1,wind,483.0,27071-1,2701,nearest_km,13.237090847999937
44737-1,44732,CODLING 2,wind,483.0,27071-1,2701,nearest_km,17.192659942601015
44738-1,44733,CODLING 3,wind,483.0,27071-1,2701,nearest_km,17.192659942601015
44806-1,4481,PORTLAOISE,solar,4.0,53205-1,5321,nearest_km,20.352769413725678
44871-1,4481,PORTLAOISE,wind,45.001,67066-1,2401,nearest_km,13.910111206759243
46771-1,4671,RAPPAREEHILL,wind,90.0,47073-1,4701,nearest_km,18.214647553384577
49771-1,4971,SHANONAGH,solar,58.6,40014-1,4001,nearest_km,18.14474373393034
51971-1,51911,CROAGHONAGH,wind,91.2,40971-1,4091,nearest_km,3.009798596686064
51972-1,51911,CROAGHONAGH,wind,48.0,40971-1,4091,nearest_km,3.009798596686064
53571-1,5351,TIMONEY,solar,66.56,50024-1,5001,nearest_km,28.927873631863342
53571-2,5351,TIMONEY,solar,90.0,50024-1,5001,nearest_km,28.927873631863342
66171-2,66123,ORIEL OFFSHO,wind,160.0,21871-1,2181,nearest_km,10.979189188891198
66171-OS,66123,ORIEL OFFSHO,wind,210.0,21871-1,2181,nearest_km,10.979189188891198
67025-1,14013,SRAHNAKILLY,wind,89.0,14073-3,1401,nearest_km,0.0
67026-2,14013,SRAHNAKILLY,wind,83.0,14073-3,1401,nearest_km,0.0
67071-5,14016,CROAGHAUN,wind,50.0,14073-3,1401,nearest_km,0.0
68095-1,68090,KNOCKNAMONA,wind,34.0,69335-1,6931,nearest_km,0.0
68096-1,66096,UPPERCHURCH,wind,84.0,42672-2,4261,nearest_km,17.34118743429184
68285-1,4481,PORTLAOISE,wind,9.2,67066-1,2401,nearest_km,13.910111206759243
77232-PT,77212,WIND_PT,wind,51.6,77291-CA,77210,nearest_km,0.0
81832-CA,81810,KILL1-CL,wind,20.7,84491-CU,84412,nearest_km,4.281081841327075
81833-BH,81810,KILL1-CL,wind,24.0,84491-CU,84412,nearest_km,4.281081841327075
81834-BC,81810,KILL1-CL,wind,29.0,84491-CU,84412,nearest_km,4.281081841327075
85591-CH,85510,MAKL1-CL,wind,18.4,87591-T1,87510,nearest_km,0.0
85592-CR,85510,MAKL1-CL,wind,32.2,87591-T1,87510,nearest_km,0.0
85593-TH,85510,MAKL1-CL,wind,20.0,87591-T1,87510,nearest_km,0.0
87991-BR,87900,RASHARK1,solar,29.81,71093-BR,71011,nearest_km,19.135459474948554
87992-AV,87900,RASHARK1,wind,18.0,73501-BR,73500,nearest_km,13.355274192231684
87993-G1,87900,RASHARK1,wind,9.2,73501-BR,73500,nearest_km,13.355274192231684
87994-LM,87900,RASHARK1,wind,27.6,73501-BR,73500,nearest_km,13.355274192231684
87995-FR,87900,RASHARK1,solar,5.209,71093-BR,71011,nearest_km,19.135459474948554
87996-CE,87900,RASHARK1,wind,21.5,73501-BR,73500,nearest_km,13.355274192231684
89202-S2,89210,SKRK1-,wind,27.6,84491-CU,84412,nearest_km,4.281081841327075
90231-CC,90210,TREM,wind,13.8,80700-SS,80710,nearest_km,10.99646028989068
90232-CD,90210,TREM,wind,12.5,80700-SS,80710,nearest_km,10.99646028989068
90233-GO,90210,TREM,wind,15.0,80700-SS,80710,nearest_km,10.99646028989068
90234-IN,90210,TREM,wind,13.8,80700-SS,80710,nearest_km,10.99646028989068
90235-EM,90210,TREM,wind,7.05,80700-SS,80710,nearest_km,10.99646028989068
90236-CL,90210,TREM,wind,12.85,80700-SS,80710,nearest_km,10.99646028989068
90237-CR,90210,TREM,wind,15.0,80700-SS,80710,nearest_km,10.99646028989068
