generator,psse_bus,psse_bus_name,bus,station,carrier,p_nom,in_service,lat,lon,cell_lat,cell_lon,cell
12771-1,12771,PV_BALTRASNA,1271,BALTRASNA,solar,10.0,True,53.5454415,-6.4401389,53.5,-6.4,+053.50_-0006.40
12772-1,12772,PV_PAINESTOW,1271,BALTRASNA,solar,7.14,True,53.5454415,-6.4401389,53.5,-6.4,+053.50_-0006.40
12872-DW,12872,W_BALLYBANE,1281,BALLYLICKEY,wind,8.4,True,51.7239932,-9.4296621,51.7,-9.4,+051.70_-0009.40
12873-1,12873,W_BALLYBANE,1281,BALLYLICKEY,wind,19.55,True,51.7239932,-9.4296621,51.7,-9.4,+051.70_-0009.40
12874-1,12874,W_KEALKIL,1281,BALLYLICKEY,wind,8.5,True,51.7239932,-9.4296621,51.7,-9.4,+051.70_-0009.40
13011-1,13011,PV_BALLYNAGR,1301,BALLYBEG,solar,8.0,True,52.9909581,-6.0958665,53.0,-6.1000000000000005,+053.00_-0006.10
13072-1,13072,PV_BALLINACL,1301,BALLYBEG,solar,9.9,True,52.9909581,-6.0958665,53.0,-6.1000000000000005,+053.00_-0006.10
13170-1,13170,W_SCARTAGLEN,1311,CORDAL,wind,35.45,True,52.2145657,-9.2855811,52.2,-9.3,+052.20_-0009.30
13171-1,13171,W_COOLEGREAN,1311,CORDAL,wind,18.5,True,52.2145657,-9.2855811,52.2,-9.3,+052.20_-0009.30
13172-1,13172,W_SCARTAGLEN,1311,CORDAL,wind,3.8,True,52.2145657,-9.2855811,52.2,-9.3,+052.20_-0009.30
13271-1,13271,BLAKE,1321,BLAKE,unknown,4.999,False,53.2886399,-6.8812414,53.300000000000004,-6.9,+053.30_-0006.90
13371-1,13371,PV_BLUNDELST,1331,BLUNDELSTOWN,solar,60.0,True,53.444432,-6.5335903,53.400000000000006,-6.5,+053.40_-0006.50
13434-10,13434,HY_GLENTIES,1341,BINBANE,hydro,4.3,False,54.7189369,-8.2634291,54.7,-8.3,+054.70_-0008.30
13471-1,13471,W_BURTONPORT,1341,BINBANE,wind,0.66,True,54.7189369,-8.2634291,54.7,-8.3,+054.70_-0008.30
13472-DW,13472,W_SHANAGH_KI,1341,BINBANE,wind,2.55,True,54.7189369,-8.2634291,54.7,-8.3,+054.70_-0008.30
13473-4,13473,W_CORKERMO,1341,BINBANE,wind,9.99,True,54.7189369,-8.2634291,54.7,-8.3,+054.70_-0008.30
13474-1,13474,W_KILLIN_HIL,1341,BINBANE,wind,6.0,True,54.7189369,-8.2634291,54.7,-8.3,+054.70_-0008.30
13475-6,13475,W_LOUGHDER,1341,BINBANE,wind,7.65,True,54.7189369,-8.2634291,54.7,-8.3,+054.70_-0008.30
13476-3,13476,W_MEENACHU,1341,BINBANE,wind,11.9,True,54.7189369,-8.2634291,54.7,-8.3,+054.70_-0008.30
13477-2,13477,W_KILLYBEG,1341,BINBANE,wind,2.55,True,54.7189369,-8.2634291,54.7,-8.3,+054.70_-0008.30
13478-1,13478,W_KILCAR,1341,BINBANE,wind,3.0,True,54.7189369,-8.2634291,54.7,-8.3,+054.70_-0008.30
13479-9,13479,W_MEENADREEN,1341,BINBANE,wind,3.4,True,54.7189369,-8.2634291,54.7,-8.3,+054.70_-0008.30
13671-1,13671,PV_CARRICK,1361,BALLYDINE,solar,5.8,True,52.361399,-7.5207213,52.400000000000006,-7.5,+052.40_-0007.50
13871-1,13871,PV_LEACHT CR,1381,BARNAHELY,solar,4.95,True,51.8284805,-8.3442652,51.800000000000004,-8.3,+051.80_-0008.30
13872-1,13872,W_BARNAHELY,1381,BARNAHELY,wind,2.0,True,51.8284805,-8.3442652,51.800000000000004,-8.3,+051.80_-0008.30
13873-1,13873,PV_LEACHT CR,1381,BARNAHELY,solar,2.5,True,51.8284805,-8.3442652,51.800000000000004,-8.3,+051.80_-0008.30
13904-1,13904,CASTLELOST,1392,CASTLELOST,unknown,55.0,True,53.3981429,-7.3211845,53.400000000000006,-7.300000000000001,+053.40_-0007.30
13904-2,13904,CASTLELOST,1392,CASTLELOST,unknown,55.0,True,53.3981429,-7.3211845,53.400000000000006,-7.300000000000001,+053.40_-0007.30
13914-1,13914,CASTLELOST,1392,CASTLELOST,unknown,55.0,True,53.3981429,-7.3211845,53.400000000000006,-7.300000000000001,+053.40_-0007.30
13914-2,13914,CASTLELOST,1392,CASTLELOST,unknown,55.0,True,53.3981429,-7.3211845,53.400000000000006,-7.300000000000001,+053.40_-0007.30
13914-3,13914,CASTLELOST,1392,CASTLELOST,unknown,55.0,True,53.3981429,-7.3211845,53.400000000000006,-7.300000000000001,+053.40_-0007.30
14073-3,14073,W_BELLACORIC,1401,BELLACORICK,wind,6.45,True,54.1205007,-9.5787377,54.1,-9.600000000000001,+054.10_-0009.60
14075-OC,14075,AMETS,1401,BELLACORICK,unknown,10.0,False,54.1205007,-9.5787377,54.1,-9.600000000000001,+054.10_-0009.60
14078-1,14078,W_DOOLEEG MO,1401,BELLACORICK,wind,2.5,True,54.1205007,-9.5787377,54.1,-9.600000000000001,+054.10_-0009.60
14078-2,14078,W_DOOLEEG MO,1401,BELLACORICK,wind,1.3,True,54.1205007,-9.5787377,54.1,-9.600000000000001,+054.10_-0009.60
14078-3,14078,W_DOOLEEG MO,1401,BELLACORICK,wind,1.19,True,54.1205007,-9.5787377,54.1,-9.600000000000001,+054.10_-0009.60
14304-1,14304,BALLYRAGGET,1431,BALLYRAGGET,unknown,7.5,False,52.7988347,-7.342814,52.800000000000004,-7.300000000000001,+052.80_-0007.30
14371-1,14371,PV_LOAN PV,1431,BALLYRAGGET,solar,4.99,True,52.7988347,-7.342814,52.800000000000004,-7.300000000000001,+052.80_-0007.30
14372-1,14372,PV_PARKGROVE,1431,BALLYRAGGET,solar,35.0,True,52.7988347,-7.342814,52.800000000000004,-7.300000000000001,+052.80_-0007.30
14373-1,14373,W_FARRANORY,1431,BALLYRAGGET,wind,45.0,True,52.7988347,-7.342814,52.800000000000004,-7.300000000000001,+052.80_-0007.30
14424-1,14424,PV_KNOCKBROG,1441,BANDON,solar,4.95,True,51.7739278,-8.733195,51.800000000000004,-8.700000000000001,+051.80_-0008.70
14424-2,14424,PV_KNOCKBROG,1441,BANDON,solar,4.95,True,51.7739278,-8.733195,51.800000000000004,-8.700000000000001,+051.80_-0008.70
14471-1,14471,W_KILVINAN,1441,BANDON,wind,4.0,True,51.7739278,-8.733195,51.800000000000004,-8.700000000000001,+051.80_-0008.70
14472-1,14472,W_KILVINAN_G,1441,BANDON,wind,0.85,True,51.7739278,-8.733195,51.800000000000004,-8.700000000000001,+051.80_-0008.70
14473-1,14473,PV_CALLATRIM,1441,BANDON,solar,5.95,True,51.7739278,-8.733195,51.800000000000004,-8.700000000000001,+051.80_-0008.70
14474-1,14474,W_GARRANEREA,1441,BANDON,wind,8.75,True,51.7739278,-8.733195,51.800000000000004,-8.700000000000001,+051.80_-0008.70
14475-1,14475,PV_FARRANGAL,1441,BANDON,solar,4.95,True,51.7739278,-8.733195,51.800000000000004,-8.700000000000001,+051.80_-0008.70
14476-1,14476,PV_FINNIS,1441,BANDON,solar,12.0,True,51.7739278,-8.733195,51.800000000000004,-8.700000000000001,+051.80_-0008.70
14606-1,14606,PV_FARRAN SO,1461,BARRYMORE,solar,15.0,True,52.0958683,-8.2546807,52.1,-8.3,+052.10_-0008.30
14703-XX,14703,BLC STATCOM,1472,BELCAMP,unknown,0.0,False,53.409766,-6.2025287,53.400000000000006,-6.2,+053.40_-0006.20
14771-1,14771,W_NISA BELCA,14720,,wind,500.0,True,,,,,
14871-1,14871,W_BEALLOUG,1481,BUTLERSTOWN,wind,1.7,True,52.2286078,-7.1703735,52.2,-7.2,+052.20_-0007.20
14872-1,14872,PV_KEILOGE S,1481,BUTLERSTOWN,solar,3.95,True,52.2286078,-7.1703735,52.2,-7.2,+052.20_-0007.20
14873-1,14873,PV_CARRIGLON,1481,BUTLERSTOWN,solar,32.7,True,52.2286078,-7.1703735,52.2,-7.2,+052.20_-0007.20
14971-1,14971,PV_DEENES,1491,DEENES,solar,85.0,True,53.6475064,-6.4407825,53.6,-6.4,+053.60_-0006.40
15112-1,15112,W_GLANRUDDER,1511,CLOGHBOOLA,wind,12.0,True,52.3305984,-9.4380864,52.300000000000004,-9.4,+052.30_-0009.40
15171-TW,15171,W_CLOGHBOOLA,1511,CLOGHBOOLA,wind,46.0,True,52.3305984,-9.4380864,52.300000000000004,-9.4,+052.30_-0009.40
15172-DW,15172,W_CLOGHANALE,1511,CLOGHBOOLA,wind,12.55,True,52.3305984,-9.4380864,52.300000000000004,-9.4,+052.30_-0009.40
15174-DW,15174,W_GLANRUDDER,1511,CLOGHBOOLA,wind,20.0,True,52.3305984,-9.4380864,52.300000000000004,-9.4,+052.30_-0009.40
15175-1,15175,W_GLANTAUNYA,1511,CLOGHBOOLA,wind,9.999,True,52.3305984,-9.4380864,52.300000000000004,-9.4,+052.30_-0009.40
15271-1,15271,W_MOANVANE,1521,,wind,56.4,True,,,,,
15471-1,15471,PV_COURTOWN,1541,BANOGE,solar,4.0,True,52.6502648,-6.2725523,52.7,-6.300000000000001,+052.70_-0006.30
15472-1,15472,BS_GOREY BAT,1541,BANOGE,biomass,9.0,False,52.6502648,-6.2725523,52.7,-6.300000000000001,+052.70_-0006.30
15473-1,15473,PV_GOREY PV,1541,BANOGE,solar,4.0,True,52.6502648,-6.2725523,52.7,-6.300000000000001,+052.70_-0006.30
15571-1,15571,W_ESK,1551,BOGGERAGH,wind,5.4,True,52.0384891,-8.9086408,52.0,-8.9,+052.00_-0008.90
15571-2,15571,W_ESK,1551,BOGGERAGH,wind,12.0,True,52.0384891,-8.9086408,52.0,-8.9,+052.00_-0008.90
15571-DW,15571,W_ESK,1551,BOGGERAGH,wind,5.95,True,52.0384891,-8.9086408,52.0,-8.9,+052.00_-0008.90
15572-1,15572,W_BOGGERAGH_,1551,BOGGERAGH,wind,65.7,True,52.0384891,-8.9086408,52.0,-8.9,+052.00_-0008.90
15573-1,15573,W_CARRIGCA,1551,BOGGERAGH,wind,20.0,True,52.0384891,-8.9086408,52.0,-8.9,+052.00_-0008.90
15573-2,15573,W_CARRIGCA,1551,BOGGERAGH,wind,3.0,True,52.0384891,-8.9086408,52.0,-8.9,+052.00_-0008.90
15574-1,15574,W_BOGGERAG,1551,BOGGERAGH,wind,57.0,True,52.0384891,-8.9086408,52.0,-8.9,+052.00_-0008.90
15771-1,15771,W_CRONALAGHT,1571,ARDNAGAPPARY,wind,1.98,True,55.0566404,-8.2688178,55.1,-8.3,+055.10_-0008.30
15772-1,15772,W_CRONALAGHT,1571,ARDNAGAPPARY,wind,3.0,True,55.0566404,-8.2688178,55.1,-8.3,+055.10_-0008.30
15971-1,15971,PV_CLONFAD,1591,CLONFAD,solar,100.0,True,53.4604224,-7.2119609,53.5,-7.2,+053.50_-0007.20
16271-1,16271,PV_GARRAVAGH,1621,COOLROE,solar,10.0,True,51.8859966,-8.6360252,51.900000000000006,-8.6,+051.90_-0008.60
16371-1,16371,W_CARANNE_HI,1631,CORDERRY,wind,3.4,True,54.1988681,-8.197639,54.2,-8.200000000000001,+054.20_-0008.20
16372-2,16372,W_BLACK_BANK,1631,CORDERRY,wind,3.4,True,54.1988681,-8.197639,54.2,-8.200000000000001,+054.20_-0008.20
16373-3,16373,W_BLACK_BANK,1631,CORDERRY,wind,6.8,True,54.1988681,-8.197639,54.2,-8.200000000000001,+054.20_-0008.20
16374-4,16374,W_ALTAGOWLAN,1631,CORDERRY,wind,7.65,True,54.1988681,-8.197639,54.2,-8.200000000000001,+054.20_-0008.20
16375-1,16375,W_MONEENATIE,1631,CORDERRY,wind,3.96,True,54.1988681,-8.197639,54.2,-8.200000000000001,+054.20_-0008.20
16376-6,16376,W_GEEVAGH,1631,CORDERRY,wind,4.95,True,54.1988681,-8.197639,54.2,-8.200000000000001,+054.20_-0008.20
16377-1,16377,W_TULLYNAMOY,1631,CORDERRY,wind,9.0,True,54.1988681,-8.197639,54.2,-8.200000000000001,+054.20_-0008.20
16378-1,16378,W_CARANNE_HI,1631,CORDERRY,wind,1.598,True,54.1988681,-8.197639,54.2,-8.200000000000001,+054.20_-0008.20
16379-2,16379,W_MONEENATIE,1631,CORDERRY,wind,0.29,True,54.1988681,-8.197639,54.2,-8.200000000000001,+054.20_-0008.20
16382-1,16382,W_TULLYNAMOY,1631,CORDERRY,wind,10.225,True,54.1988681,-8.197639,54.2,-8.200000000000001,+054.20_-0008.20
16385-1,16385,W_TULLYNAMOY,1631,CORDERRY,wind,16.35,True,54.1988681,-8.197639,54.2,-8.200000000000001,+054.20_-0008.20
16392-1,16392,W_TULLYNAMOY,1631,CORDERRY,wind,11.98,True,54.1988681,-8.197639,54.2,-8.200000000000001,+054.20_-0008.20
16471-1,16471,PV_BALLYMONE,16410,,solar,100.0,True,,,,,
16571-1,16571,W_CLAHANE,1651,CLAHANE,wind,37.8,True,52.3787738,-9.548026,52.400000000000006,-9.5,+052.40_-0009.50
16572-1,16572,PV_BANEMORE,1651,CLAHANE,solar,34.0,True,52.3787738,-9.548026,52.400000000000006,-9.5,+052.40_-0009.50
16670-1,16670,W_LENENEVEA_,1661,CASTLEBAR,wind,4.65,True,53.8665266,-9.2692746,53.900000000000006,-9.3,+053.90_-0009.30
16671-1,16671,W_CUILLALEA1,1661,CASTLEBAR,wind,3.4,True,53.8665266,-9.2692746,53.900000000000006,-9.3,+053.90_-0009.30
16672-2,16672,W_CUILLALEA2,1661,CASTLEBAR,wind,1.59,True,53.8665266,-9.2692746,53.900000000000006,-9.3,+053.90_-0009.30
16674-1,16674,W_RAHEEN_BAR,1661,CASTLEBAR,wind,18.7,True,53.8665266,-9.2692746,53.900000000000006,-9.3,+053.90_-0009.30
16675-2,16675,W_RAHEEN_BAR,1661,CASTLEBAR,wind,8.5,True,53.8665266,-9.2692746,53.900000000000006,-9.3,+053.90_-0009.30
16676-1,16676,W_LENANAVEA_,1661,CASTLEBAR,wind,6.8,True,53.8665266,-9.2692746,53.900000000000006,-9.3,+053.90_-0009.30
16679-3,16679,W_LENENEVA_3,1661,CASTLEBAR,wind,6.8,True,53.8665266,-9.2692746,53.900000000000006,-9.3,+053.90_-0009.30
16771-1,16771,W_BS_CLONCRE,1671,KILCUMBER,wind,75.0,True,53.2901576,-7.092703,53.300000000000004,-7.1000000000000005,+053.30_-0007.10
16771-2,16771,W_BS_CLONCRE,1671,KILCUMBER,wind,25.0,False,53.2901576,-7.092703,53.300000000000004,-7.1000000000000005,+053.30_-0007.10
16873-3,16873,HY_CDRDG3,1681,CARRIGADROHI,hydro,8.0,False,51.8978487,-8.8633008,51.900000000000006,-8.9,+051.90_-0008.90
17073-3,17073,HY_CATHG3,1701,CATH_FALL,hydro,22.5,True,54.4987533,-8.1769822,54.5,-8.200000000000001,+054.50_-0008.20
17074-4,17074,HY_CATHG4,17010,CATH FALL,hydro,23.0,True,54.4987533,-8.1769822,54.5,-8.200000000000001,+054.50_-0008.20
17075-7,17075,W_ANARGET,1341,BINBANE,wind,1.98,True,54.7189369,-8.2634291,54.7,-8.3,+054.70_-0008.30
17077-8,17077,W_ANARGET,1341,BINBANE,wind,0.02,True,54.7189369,-8.2634291,54.7,-8.3,+054.70_-0008.30
17078-1,17078,W_DERRYKILLE,17010,CATH FALL,wind,37.5,True,54.4987533,-8.1769822,54.5,-8.200000000000001,+054.50_-0008.20
17205-1,17205,PV_MONROE EA,1721,CAHIR,solar,8.0,True,52.3769959,-7.8984212,52.400000000000006,-7.9,+052.40_-0007.90
17272-1,17272,PV_FARRANLAH,1721,CAHIR,solar,4.0,True,52.3769959,-7.8984212,52.400000000000006,-7.9,+052.40_-0007.90
17273-1,17273,PV_BALLYMACA,1721,CAHIR,solar,19.0,True,52.3769959,-7.8984212,52.400000000000006,-7.9,+052.40_-0007.90
17274-1,17274,PV_MAGHERARE,1721,CAHIR,solar,3.3,True,52.3769959,-7.8984212,52.400000000000006,-7.9,+052.40_-0007.90
17471-1,17471,W_DUBLIN ARR,17420,,wind,824.0,True,,,,,
17571-1,17571,W_PV_KNOCKNA,1751,,wind,42.0,True,,,,,
17571-2,17571,W_PV_KNOCKNA,1751,,wind,12.0,True,,,,,
17671-1,17671,HY_CLIFG1,1761,CLIFF,hydro,10.0,True,54.4875201,-8.1042024,54.5,-8.1,+054.50_-0008.10
17672-2,17672,HY_CLIFG2,1761,CLIFF,hydro,10.0,True,54.4875201,-8.1042024,54.5,-8.1,+054.50_-0008.10
18212-1,18212,PV_CLOONASCR,1821,CLOON,solar,20.0,True,53.4834794,-8.8482757,53.5,-8.8,+053.50_-0008.80
18271-DW,18271,W_CLOONLUSK,1821,CLOON,wind,4.25,True,53.4834794,-8.8482757,53.5,-8.8,+053.50_-0008.80
18272-1,18272,PV_BARNDERG,1821,CLOON,solar,4.0,True,53.4834794,-8.8482757,53.5,-8.8,+053.50_-0008.80
18274-1,18274,PV_BARNACURR,1821,CLOON,solar,50.0,True,53.4834794,-8.8482757,53.5,-8.8,+053.50_-0008.80
18275-1,18275,PV_MILLTOWN,1821,CLOON,solar,4.99,True,53.4834794,-8.8482757,53.5,-8.8,+053.50_-0008.80
18276-1,18276,W_BALLYNAKIL,1821,CLOON,wind,4.99,True,53.4834794,-8.8482757,53.5,-8.8,+053.50_-0008.80
18277-1,18277,CLOONBAR,1821,CLOON,unknown,4.99,True,53.4834794,-8.8482757,53.5,-8.8,+053.50_-0008.80
18372-1,18372,W_ROSSAVEEL,1831,SCREEB,wind,3.0,True,53.3804345,-9.5853139,53.400000000000006,-9.600000000000001,+053.40_-0009.60
18373-1,18373,W_INVERINCT,1831,SCREEB,wind,4.99,True,53.3804345,-9.5853139,53.400000000000006,-9.600000000000001,+053.40_-0009.60
18471-1,18471,W_GREENOGE,1841,CRANE,wind,4.99,True,52.5323772,-6.5144397,52.5,-6.5,+052.50_-0006.50
18472-DW,18472,W_KILBRANISH,1841,CRANE,wind,2.5,True,52.5323772,-6.5144397,52.5,-6.5,+052.50_-0006.50
18474-1,18474,BS_AVONBEG B,1841,CRANE,biomass,16.0,False,52.5323772,-6.5144397,52.5,-6.5,+052.50_-0006.50
18476-1,18476,PV_MACALLIAN,1841,CRANE,solar,5.0,True,52.5323772,-6.5144397,52.5,-6.5,+052.50_-0006.50
18611-1,18611,CASTLEREA,1861,CARRICK ON S,unknown,1.6,True,53.9373054,-8.1088425,53.900000000000006,-8.1,+053.90_-0008.10
18611-2,18611,CASTLEREA,1861,CARRICK ON S,unknown,5.0,True,53.9373054,-8.1088425,53.900000000000006,-8.1,+053.90_-0008.10
18672-1,18672,PV_RATHLEG,1861,CARRICK ON S,solar,4.0,True,53.9373054,-8.1088425,53.900000000000006,-8.1,+053.90_-0008.10
18871-1,18871,PV_BALLYROE,18810,,solar,120.0,True,,,,,
19074-1,19074,PV_KILCARRIG,1901,CARLOW,solar,4.0,True,52.8325066,-6.8445771,52.800000000000004,-6.800000000000001,+052.80_-0006.80
19076-1,19076,W_BILBAO,1901,CARLOW,wind,15.0,True,52.8325066,-6.8445771,52.800000000000004,-6.800000000000001,+052.80_-0006.80
19076-2,19076,W_BILBAO,1901,CARLOW,wind,6.0,True,52.8325066,-6.8445771,52.800000000000004,-6.800000000000001,+052.80_-0006.80
19077-1,19077,PV_COPPENAGH,1901,CARLOW,solar,4.6,True,52.8325066,-6.8445771,52.800000000000004,-6.800000000000001,+052.80_-0006.80
19077-2,19077,PV_COPPENAGH,1901,CARLOW,solar,4.7,True,52.8325066,-6.8445771,52.800000000000004,-6.800000000000001,+052.80_-0006.80
19081-1,19081,W_CRONELEA,1901,CARLOW,wind,2.55,True,52.8325066,-6.8445771,52.800000000000004,-6.800000000000001,+052.80_-0006.80
19082-2,19082,W_CRONELEA,1901,CARLOW,wind,1.7,True,52.8325066,-6.8445771,52.800000000000004,-6.800000000000001,+052.80_-0006.80
19083-1,19083,W_CRONELEA,1901,CARLOW,wind,4.99,True,52.8325066,-6.8445771,52.800000000000004,-6.800000000000001,+052.80_-0006.80
19084-2,19084,W_CRONELEA,1901,CARLOW,wind,4.5,True,52.8325066,-6.8445771,52.800000000000004,-6.800000000000001,+052.80_-0006.80
19085-1,19085,W_GORTAHIL,1901,CARLOW,wind,21.0,True,52.8325066,-6.8445771,52.800000000000004,-6.800000000000001,+052.80_-0006.80
19102-1,19102,CUILEEN_POWE,1911,,unknown,100.0,True,,,,,
19201-1,19201,PV_COW CROSS,1921,COW CROSS,solar,4.95,True,51.8651043,-8.3012481,51.900000000000006,-8.3,+051.90_-0008.30
19317-XX,19317,CUNG_SCOM,1931,CUNGHILL,unknown,0.0,False,54.1111523,-8.6491987,54.1,-8.6,+054.10_-0008.60
19371-1,19371,W_KINGSMOUNT,1931,CUNGHILL,wind,23.75,True,54.1111523,-8.6491987,54.1,-8.6,+054.10_-0008.60
